Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
446,Sindarius Thornwell\thornsi01,SG,26,NOP,14,1,5.2,0.5,1.5,.333,0.2,0.6,.333,0.3,0.9,.333,.405,0.0,0.1,.000,0.1,0.3,0.4,0.3,0.4,0.1,0.3,0.2,1.2
447,Matisse Thybulle\thybuma01,SG,23,PHI,38,4,18.4,1.4,3.4,.414,0.6,2.0,.307,0.8,1.4,.566,.504,0.2,0.4,.571,0.5,1.1,1.6,1.0,1.6,0.9,0.4,2.1,3.6
448,Killian Tillie\tilliki02,C,22,MEM,3,0,8.0,0.3,2.0,.167,0.3,1.0,.333,0.0,1.0,.000,.250,0.3,0.7,.500,0.3,0.3,0.7,0.0,0.3,0.0,0.3,1.7,1.3
449,Xavier Tillman Sr.\tillmxa01,PF,22,MEM,31,7,19.5,2.8,5.5,.515,0.3,1.2,.278,2.5,4.3,.579,.544,0.6,0.9,.741,1.3,3.0,4.3,1.5,0.9,0.5,0.9,2.3,6.6
450,Obi Toppin\toppiob01,PF,22,NYK,31,0,12.3,1.9,3.8,.492,0.5,1.5,.304,1.4,2.3,.611,.551,0.4,0.5,.733,0.5,2.0,2.5,0.5,0.3,0.3,0.6,1.1,4.5
451,Juan Toscano-Anderson\toscaju01,SG,27,GSW,27,13,19.3,2.0,3.7,.530,0.6,1.5,.375,1.4,2.2,.633,.605,0.5,0.7,.722,0.6,3.5,4.1,2.1,0.5,0.5,1.1,2.1,5.0
452,Karl-Anthony Towns\townska01,C,25,MIN,20,20,33.1,8.0,16.2,.495,1.9,5.3,.349,6.2,10.9,.567,.553,4.4,5.0,.870,2.7,7.6,10.3,4.2,0.9,1.7,3.4,3.8,22.2
453,Gary Trent Jr.\trentga02,SG,22,POR,37,23,31.4,5.5,13.1,.422,3.1,7.6,.404,2.5,5.5,.446,.539,1.4,1.8,.788,0.6,1.6,2.2,1.5,0.9,0.1,0.8,1.6,15.6
454,P.J. Tucker\tuckepj01,PF,35,HOU,32,32,30.0,1.5,4.1,.366,0.8,2.7,.314,0.7,1.4,.467,.469,0.6,0.7,.783,1.0,3.6,4.6,1.4,0.9,0.6,1.0,2.8,4.4
455,Myles Turner\turnemy01,C,24,IND,37,37,31.1,4.6,9.5,.483,1.4,4.5,.315,3.2,5.1,.631,.557,2.5,3.2,.782,1.4,5.1,6.5,1.0,1.0,3.4,1.4,3.5,13.1
456,Jonas Valančiūnas\valanjo01,C,28,MEM,32,31,27.6,6.6,11.8,.557,0.3,1.0,.323,6.3,10.8,.578,.570,2.5,3.4,.734,3.8,8.1,11.9,1.7,0.7,0.7,2.0,3.0,15.9
457,Denzel Valentine\valende01,SG,27,CHI,35,3,18.6,2.9,7.7,.378,1.5,4.5,.338,1.4,3.2,.434,.476,0.2,0.2,1.000,0.4,3.5,4.0,1.7,0.7,0.0,0.6,1.1,7.5
458,Jarred Vanderbilt\vandeja01,PF,21,MIN,38,21,19.0,2.5,4.0,.614,0.0,0.1,.500,2.4,4.0,.616,.618,1.1,1.9,.583,1.8,4.1,5.9,1.5,1.1,0.7,1.1,2.1,6.1
459,Fred VanVleet\vanvlfr01,SG,26,TOR,35,35,36.6,6.5,16.5,.394,3.3,8.7,.377,3.2,7.8,.414,.494,3.6,4.0,.893,0.7,3.7,4.3,6.5,1.7,0.8,2.0,2.5,19.9
460,Devin Vassell\vassede01,SF,20,SAS,30,1,17.4,2.0,4.8,.413,1.0,2.5,.419,0.9,2.3,.406,.521,0.6,0.8,.826,0.6,2.6,3.2,1.2,1.0,0.3,0.4,1.4,5.6
461,Gabe Vincent\vincega01,PG,24,MIA,26,5,14.4,2.0,5.5,.364,0.9,3.4,.258,1.1,2.1,.537,.444,0.7,0.8,.905,0.1,0.9,1.0,1.2,0.5,0.1,0.8,1.8,5.6
462,Noah Vonleh\vonleno01,PF,25,BRK,4,0,2.8,0.0,0.8,.000,0.0,0.5,.000,0.0,0.3,.000,.000,0.0,0.0,,0.0,0.3,0.3,0.3,0.0,0.0,0.5,0.5,0.0
